sta,lat,lon
El_Nido_Airport,11.2051,119.4135
El_Segundo,33.9125,-118.3823
Elandsfontein,-26.245342,29.417572
EPA-NCU,24.967533,121.185483
EPA-Res_Triangle_Pk,35.88,-78.87
Epanomi,40.375,22.978
Ersa,43.003669,9.359289
ETNA,37.6135,15.019433
Etosha_Pan,-19.175017,15.914383
Evora,38.567833,-7.9115
Exeter_MO,50.728519,-3.475167
Fang,19.913397,99.206425
Finokalia-FKL,35.337712,25.669762
FLIN_FLON,54.669998,-101.690002
Fontainebleau,48.406667,2.680278
Fort_McKay,57.1835,-111.64
Fort_McMurray,56.752306,-111.476139
FORTH_CRETE,35.332694,25.282417
Frenchman_Flat,36.80928,-115.93479
Fresno,36.781733,-119.773167
Fresno_2,36.78537,-119.77302
Frioul,43.266111,5.293333
FZJ-JOYCE,50.908333,6.413056
Galata_Platform,43.044624,28.19319
Gandhi_College,25.871,84.127944
Georgia_Tech,33.780202,-84.399537
Glasgow_MO,55.9068,-4.53122
Gloria,44.59997,29.35967
Gobabeb,-23.561619,15.041058
Goldstone,35.233333,-116.791667
Gorongosa,-18.978417,34.35075
Gosan_SNU,33.292222,126.161667
GOT_Seaprism,9.2862,101.4123
Gotland,57.916667,18.95
Gozo,36.034139,14.264694
Granada,37.164,-3.605
Grand_Forks,47.91175,-97.32545
Granite_Island,46.7208,-87.412
GSFC,38.9925,-76.839833
Guadeloup,16.22492,-61.528378
Gual_Pahari,28.426086,77.15047
Gustav_Dalen_Tower,58.59417,17.46683
Hada_El-Sham,21.802,39.7289
Halifax,44.638,-63.594
Hamburg,53.568333,9.973333
Hamim,22.966667,54.3
Hampton_Roads,36.783333,-76.449997
Hangzhou_City,30.289633,120.156917
Hankuk_UFS,37.33883,127.26582
Hart_Miller_Island,39.2419,-76.3628
Harvard_Forest,42.532,-72.188
Hefei,31.904722,117.162222
Helgoland,54.177861,7.887361
Helsinki,60.203733,24.96065
Helsinki_Lighthouse,59.94897,24.92636
Heng-Chun,22.054742,120.6995
Henties_Bay,-22.09506,14.25974
Hermosillo,29.074722,-110.96
HESS,-23.273,16.502944
Hetauda,27.42835,85.030933
HJAndrews,44.238609,-122.223892
HohenpeissenbergDWD,47.8019,11.0119
Hokkaido_University,43.0755,141.3407
Homburi,15.329167,-1.546667
Hong_Kong_Hok_Tsui,22.2097,114.258
Hong_Kong_PolyU,22.303333,114.179722
Hong_Kong_Sheung,22.4833,114.1166
HOPE-Hambach,50.8972,6.4639
HOPE-Krauthausen,50.8796,6.4145
HOPE-RWTH-Aachen,50.7777,6.0606
Howland,45.2041,-68.7402
Hua_Hin,12.634444,99.951111
Huambo,-12.8679,15.7046
Huancayo-IGP,-12.0402,-75.3209
Huelva,37.0163,-6.5687
Hyytiala,61.846447,24.295892
IASBS,36.705167,48.507111
Iasi_LOASL,47.193056,27.555556
