sta,obs_id,cluster id,year,month,day,hour,min,sec,lat,lon,elev,aod1c,aod2c,aod3c,aod4c,aod1t,aod2t,aod3t,aod4t,ssa1,ssa2,ssa3,ssa4,aod1a,aod2a,aod3a,aod4a,g1,g2,g3,g4,volcf,vmrf,stdf,volcc,vmrc,stdc,AEe1,AEe2,AEa,nr1,nr2,nr3,nr4,ni1,ni2,ni3,ni4
Rome_Tor_Vergata,59257,8,2003,7,19,12,0,0,41.83955,12.647333,130,0.353809,0.169377,0.112424,0.096049,0.35555,0.170483,0.113917,0.09425,0.9029,0.8939,0.8595,0.84235,0.043262,0.022118,0.018172,0.016146,0.671952,0.591257,0.570615,0.568253,0.035667,0.144333,0.362667,0.053167,3.051833,0.690167,1.656023,1.191460413,1.301781,1.5769,1.5522,1.5368,1.538,0.017166,0.012861,0.013851,0.014373
Rome_Tor_Vergata,59275,8,2003,9,18,12,0,0,41.83955,12.647333,130,0.311123,0.147039,0.095295,0.081167,0.311743,0.148457,0.096771,0.079729,0.9056,0.89055,0.85455,0.83555,0.039709,0.022073,0.018718,0.01708,0.698165,0.61887,0.58419,0.567653,0.040714,0.162,0.416429,0.040714,3.408,0.614286,1.710727,1.217831392,1.129187,1.3666,1.3846,1.3921,1.41015,0.010963,0.009057,0.010168,0.010947
Rome_Tor_Vergata,59277,4,2003,9,22,12,0,0,41.83955,12.647333,130,0.374815,0.173968,0.107863,0.087025,0.37666,0.17448,0.10872,0.08546,0.9194,0.905,0.8692,0.8389,0.0336,0.018542,0.01582,0.015379,0.703449,0.603222,0.552392,0.531005,0.0594,0.1642,0.3828,0.0344,3.1064,0.641,1.818338,1.513392649,1.133375,1.5117,1.4824,1.4721,1.4777,0.01345,0.011292,0.012977,0.014956
Rome_Tor_Vergata,59287,6,2004,10,25,12,0,0,41.83955,12.647333,130,0.36403,0.255367,0.213899,0.193178,0.3662,0.256037,0.214487,0.19445,0.8553,0.9097,0.9011,0.9029,0.063305,0.027003,0.024655,0.021978,0.75677,0.707113,0.702414,0.703925,0.042,0.166875,0.5475,0.097625,2.064875,0.656125,0.78555,0.616567178,1.445299,1.4844,1.4832,1.4885,1.4908,0.015028,0.007339,0.008404,0.008533
Rome_Tor_Vergata,59289,12,2005,2,27,12,0,0,41.83955,12.647333,130,0.335162,0.176967,0.108867,0.080349,0.33585,0.1775,0.10755,0.0813,0.9404,0.9315,0.9143,0.9098,0.024263,0.015242,0.01159,0.00934,0.709072,0.672477,0.635691,0.608719,0.038,0.228,0.511,0.0135,3.291,0.646,1.666484,1.759094561,1.082651,1.4887,1.4321,1.4036,1.4033,0.009558,0.010201,0.010759,0.010304
Rome_Tor_Vergata,59293,12,2005,6,7,12,0,0,41.83955,12.647333,130,0.361644,0.189462,0.132017,0.101265,0.36215,0.1911,0.1297,0.1032,0.9321,0.9259,0.9039,0.9048,0.02748,0.015874,0.013868,0.010804,0.712745,0.676642,0.645254,0.632759,0.0345,0.2095,0.4525,0.0395,2.618,0.716,1.502395,1.436869689,1.031206,1.5267,1.4629,1.4536,1.4446,0.009573,0.008613,0.009703,0.008907
Rome_Tor_Vergata,59295,3,2005,7,28,12,0,0,41.83955,12.647333,130,0.214572,0.120511,0.094599,0.084807,0.2156,0.12258,0.0952,0.08484,0.8526,0.9372,0.9419,0.9464,0.066984,0.019832,0.015682,0.013475,0.677366,0.626872,0.624289,0.63148,0.0208,0.1406,0.4278,0.0598,2.8138,0.6546,1.462842,0.724314169,2.202132,1.4245,1.4554,1.4548,1.4464,0.010887,0.00323,0.003154,0.003119
Rome_Tor_Vergata,59299,3,2005,10,27,12,0,0,41.83955,12.647333,130,0.35168,0.197041,0.140264,0.114269,0.352356,0.197589,0.140511,0.114589,0.832967,0.895033,0.8899,0.8852,0.084352,0.030446,0.022494,0.018929,0.740834,0.692081,0.663671,0.652029,0.043444,0.207,0.532889,0.04,2.558667,0.605,1.356272,1.282081887,1.998079,1.426467,1.405667,1.4083,1.4074,0.025482,0.011347,0.01054,0.010312
Rome_Tor_Vergata,59307,11,2006,7,5,12,0,0,41.83955,12.647333,130,0.281074,0.156686,0.117565,0.10411,0.28204,0.15804,0.11816,0.10334,0.9069,0.9574,0.956,0.9557,0.042916,0.013025,0.011133,0.010309,0.723042,0.679985,0.658665,0.647003,0.026,0.191,0.4496,0.0606,3.1314,0.6328,1.393388,0.842519553,2.061529,1.4715,1.4791,1.4742,1.4737,0.007357,0.002538,0.002766,0.002971
Rome_Tor_Vergata,59311,11,2006,7,28,12,0,0,41.83955,12.647333,130,0.350398,0.180453,0.12801,0.108769,0.351917,0.181417,0.1285,0.108767,0.9229,0.9003,0.8667,0.85035,0.033892,0.020528,0.017266,0.014945,0.694864,0.640015,0.626059,0.624951,0.031,0.163833,0.4175,0.053167,2.504167,0.6875,1.465846,1.048132806,1.00625,1.5595,1.4961,1.4807,1.47275,0.012931,0.012215,0.013555,0.013756
Rome_Tor_Vergata,59323,17,2007,4,11,12,0,0,41.83955,12.647333,130,0.357377,0.22766,0.185925,0.162686,0.35872,0.22834,0.1855,0.16394,0.9213,0.9633,0.9665,0.9657,0.03185,0.009247,0.006708,0.005968,0.72775,0.669599,0.659416,0.667014,0.0318,0.1646,0.4562,0.0724,1.889,0.706,0.973293,0.77675549,2.345648,1.4861,1.4987,1.5188,1.5174,0.008445,0.00301,0.002728,0.002849
